BIN,DEP,DIV,QTY
40034-TABL-B30023-S1,TABL,HH,
40034-TABL-B30024-S1,TABL,HH,
40034-TABL-B30025-S1,TABL,HH,
40034-TABL-B30026-S1,TABL,HH,
40034-TABL-B30027-S1,TABL,HH,
40034-TABL-B30028-S1,TABL,HH,
40034-TABL-B30029-S1,TABL,HH,
40034-TABL-B30030-S1,TABL,HH,
40034-TABL-B30031-S1,TABL,HH,
40034-TABL-B30032-S1,TABL,HH,
40034-TABL-B30033-S1,TABL,HH,
40034-TABL-B30034-S1,TABL,HH,
40034-TABL-B30035-S1,TABL,HH,
40034-TABL-B30036-S1,TABL,HH,
40034-TABL-B30037-S1,TABL,HH,
40034-TABL-B30038-S1,TABL,HH,
40034-TABL-B30039-S1,TABL,HH,
40034-TABL-B30040-S1,TABL,HH,
40034-TABL-B30041-S1,TABL,HH,
40034-TABL-B30042-S1,TABL,HH,
40034-TABL-B30043-S1,TABL,HH,
40034-TABL-B30044-S1,TABL,HH,
40034-TABL-B30045-S1,TABL,HH,
40034-TABL-B30046-S1,TABL,HH,
40034-TABL-B30047-S1,TABL,HH,
40034-TABL-B30048-S1,TABL,HH,
40034-TABL-B30049-S1,TABL,HH,
40034-TABL-B30050-S1,TABL,HH,
40034-TABL-B30051-S1,TABL,HH,
40034-TABL-B30052-S1,TABL,HH,
40034-TABL-B30053-S1,TABL,HH,
40034-TABL-B30054-S1,TABL,HH,
40034-TABL-B30055-S1,TABL,HH,
40034-TABL-B30056-S1,TABL,HH,
40034-TABL-B30057-S1,TABL,HH,
40034-TABL-B30058-S1,TABL,HH,
40034-TABL-B30059-S1,TABL,HH,
40034-TABL-B30060-S1,TABL,HH,
40034-TABL-B30061-S1,TABL,HH,
40034-TABL-B30062-S1,TABL,HH,
40034-TABL-B30063-S1,TABL,HH,
40034-TABL-B30064-S1,TABL,HH,
40034-TABL-B30065-S1,TABL,HH,
40034-TABL-B30066-S1,TABL,HH,
40034-TABL-B30067-S1,TABL,HH,
40034-TABL-B30068-S1,TABL,HH,
40034-TABL-B30069-S1,TABL,HH,
40034-TABL-B30070-S1,TABL,HH,
40034-TABL-B30071-S1,TABL,HH,
40034-TABL-B30072-S1,TABL,HH,
40034-TABL-B30073-S1,TABL,HH,
40034-TABL-B30074-S1,TABL,HH,
40034-TABL-B30075-S1,TABL,HH,
40034-TABL-B30076-S1,TABL,HH,
40034-TABL-B30077-S1,TABL,HH,
40034-TABL-B30078-S1,TABL,HH,
40034-TABL-B30079-S1,TABL,HH,
40034-TABL-B30080-S1,TABL,HH,
40034-TABL-B30081-S1,TABL,HH,
40034-TABL-B30082-S1,TABL,HH,
40034-TABL-B30083-S1,TABL,HH,
40034-TABL-B30084-S1,TABL,HH,
40034-TABL-B30085-S1,TABL,HH,
40034-TABL-B30086-S1,TABL,HH,
40034-TABL-B30087-S1,TABL,HH,
40034-TABL-B30088-S1,TABL,HH,
40034-TABL-B30089-S1,TABL,HH,
40034-TABL-B30090-S1,TABL,HH,
40034-TABL-B30091-S1,TABL,HH,
40034-TABL-B30092-S1,TABL,HH,
40034-TABL-B30093-S1,TABL,HH,
40034-TABL-B30094-S1,TABL,HH,
